mcc_code,description,bill,merchant
5996,"Swimming Pools--Sales, Supplies, and Services",,1
5997,Electric Razor Stores Sales & Services,,1
5998,Tent and Awning Stores,,1
5999,Miscellaneous & Specialty Retail Stores,,1
6010,Financial Institutions--Manual Cash Disbursements?,,
6011,Financial Institutions--Automated Cash Disbursements?,,
6012,Quasi Cash - Financial Institution - Merchandise and Services,,
6050,Quasi Cash - Member Financial Institution,,
6051,MasterCard - Quasi Cash-Merchant,,1
6211,Securities - Brokers and Dealers,,1
6300,Insurance Sales and Underwriting,1,1
6381,Insurance - Premiums,1,1
6399,Insurance - Not Elsewhere Classified,,1
6513,Real Estate Agents and Managers - Rentals; Property Management,,1
6529,Remote Stored Value Load - Member Financial Institution,,
6530,Remote Stored Value Load - Merchant,,1
6531,Payment Service Provider,,
6532,Payment Transaction - Member,,
6533,Payment Transaction - Merchant,,
6534,Money Transfer - Member Financial Institution,,
6535,Value Purchase - Member Financial Institution,,
6536,MoneySend Intracountry,,1
6537,MoneySend Intercountry,,1
6538,MoneySend Funding ,,1
6540,POI Funding Transactions (Excluding MoneySend),,1
7011,"Lodging - Hotels, Motels, and Resorts",,1
7012,Timeshares,,1
7032,Sporting and Recreational Camps?,,1
7033,Trailer Parks and Campgrounds,,1
7210,"Laundry, Cleaning, and Garment Services",,1
